# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0073, 0.0074
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0069, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0061, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0061, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0064
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0061, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0063, 0.0064
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0064, 0.0065
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0064, 0.0065
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0064, 0.0065
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0063, 0.0065
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0064, 0.0066
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0063, 0.0065
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0063, 0.0065
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0063, 0.0064
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0059, 0.0061
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0059, 0.0060
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0060, 0.0061
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0060, 0.0061
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0061, 0.0062
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0059, 0.0061
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0059, 0.0061
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0060, 0.0061
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0064
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0062, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0061, 0.0063
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0058, 0.0059
-1.0000, 70.0000, 0.1823, 1.0000, 0.2022, 0.0000, 0.1281, 1.0000, 0.0055, 0.0067, 0.0152, 0.0491, 0.0058, 0.0059
