# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0071, 0.0060
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0060, 0.0060
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0059, 0.0060
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0066, 0.0060
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0060, 0.0060
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0060, 0.0060
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0060, 0.0060
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0063, 0.0063
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0062, 0.0062
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0061, 0.0061
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0061, 0.0061
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0062, 0.0062
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0065, 0.0065
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0065, 0.0065
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0065, 0.0066
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0065, 0.0065
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0065, 0.0065
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0064, 0.0064
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0065, 0.0065
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0065, 0.0065
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0067, 0.0067
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0067, 0.0067
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0068, 0.0069
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0068, 0.0069
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0068, 0.0068
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0068, 0.0068
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0069, 0.0069
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0069, 0.0069
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0068, 0.0068
60.0000, 71.0000, 0.2754, 0.0000, 0.2384, 0.0000, 0.2071, 0.0000, 0.0045, 0.0073, 0.0135, 0.0089, 0.0068, 0.0069
