# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
67.0000, 66.0000, 0.2493, 0.0000, 0.2250, 0.0000, 0.1742, 1.0000, 0.0074, 0.0042, 0.0095, 0.0224, 0.0072, 0.0068
66.0000, 61.0000, 0.2820, 0.0000, 0.2258, 0.0000, 0.2207, 0.0000, 0.0073, 0.0041, 0.0349, 0.0593, 0.0060, 0.0060
79.0000, 67.0000, 0.2613, 0.0000, 0.1908, 1.0000, 0.2424, 0.0000, 0.0077, 0.0049, 0.0931, 0.1145, 0.0060, 0.0060
66.0000, 62.0000, 0.3026, 0.0000, 0.2418, 0.0000, 0.2122, 0.0000, 0.0067, 0.0043, 0.0359, 0.0475, 0.0060, 0.0060
67.0000, 62.0000, 0.2580, 0.0000, 0.2339, 0.0000, 0.2314, 0.0000, 0.0076, 0.0045, 0.0751, 0.1144, 0.0061, 0.0061
66.0000, 60.0000, 0.2641, 0.0000, 0.2455, 0.0000, 0.2452, 0.0000, 0.0068, 0.0042, 0.0734, 0.0843, 0.0061, 0.0061
67.0000, 62.0000, 0.2622, 0.0000, 0.2476, 0.0000, 0.2282, 0.0000, 0.0072, 0.0046, 0.0789, 0.1132, 0.0061, 0.0061
64.0000, 66.0000, 0.2298, 0.0000, 0.2298, 0.0000, 0.1843, 1.0000, 0.0096, 0.0045, 0.0539, 0.0511, 0.0060, 0.0061
60.0000, 54.0000, 0.2628, 0.0000, 0.2349, 0.0000, 0.2245, 0.0000, 0.0102, 0.0047, 0.0616, 0.0672, 0.0060, 0.0060
62.0000, 55.0000, 0.2724, 0.0000, 0.2152, 0.0000, 0.2294, 0.0000, 0.0097, 0.0047, 0.0830, 0.0986, 0.0060, 0.0060
59.0000, 52.0000, 0.2532, 0.0000, 0.2150, 0.0000, 0.2252, 0.0000, 0.0101, 0.0048, 0.0393, 0.0066, 0.0060, 0.0060
59.0000, 53.0000, 0.2478, 0.0000, 0.2345, 0.0000, 0.2463, 0.0000, 0.0097, 0.0047, 0.0350, 0.0741, 0.0061, 0.0061
57.0000, 52.0000, 0.2694, 0.0000, 0.2366, 0.0000, 0.2265, 0.0000, 0.0087, 0.0048, 0.0232, 0.0346, 0.0060, 0.0060
57.0000, 53.0000, 0.2487, 0.0000, 0.2397, 0.0000, 0.2444, 0.0000, 0.0090, 0.0049, 0.0340, 0.0688, 0.0060, 0.0060
-1.0000, 62.0000, 0.2474, 0.0000, 0.2000, 0.0000, 0.2352, 0.0000, 0.0031, 0.0040, 0.0748, 0.0165, 0.0060, 0.0060
61.0000, 67.0000, 0.2958, 0.0000, 0.2249, 0.0000, 0.2325, 0.0000, 0.0043, 0.0075, 0.0490, 0.0575, 0.0061, 0.0061
63.0000, 72.0000, 0.3000, 0.0000, 0.2392, 0.0000, 0.2100, 0.0000, 0.0044, 0.0094, 0.0637, 0.1083, 0.0060, 0.0060
71.0000, 63.0000, 0.2601, 0.0000, 0.2049, 0.0000, 0.2249, 0.0000, 0.0088, 0.0042, 0.0477, 0.0429, 0.0060, 0.0060
62.0000, 77.0000, 0.2138, 0.0000, 0.2129, 0.0000, 0.1468, 1.0000, 0.0057, 0.0075, 0.0646, 0.1201, 0.0060, 0.0060
66.0000, 60.0000, 0.2762, 0.0000, 0.2432, 0.0000, 0.2453, 0.0000, 0.0069, 0.0042, 0.0599, 0.0732, 0.0061, 0.0061
68.0000, 67.0000, 0.2692, 0.0000, 0.2389, 0.0000, 0.2197, 0.0000, 0.0073, 0.0045, 0.0634, 0.1050, 0.0060, 0.0061
52.0000, 69.0000, 0.2723, 0.0000, 0.2273, 0.0000, 0.1928, 1.0000, 0.0049, 0.0119, 0.0766, 0.0600, 0.0061, 0.0060
57.0000, 65.0000, 0.2704, 0.0000, 0.2173, 0.0000, 0.2279, 0.0000, 0.0052, 0.0106, 0.0800, 0.0849, 0.0060, 0.0060
60.0000, 55.0000, 0.2693, 0.0000, 0.2243, 0.0000, 0.2105, 0.0000, 0.0091, 0.0048, 0.0992, 0.1370, 0.0059, 0.0059
60.0000, 53.0000, 0.2482, 0.0000, 0.2073, 0.0000, 0.2237, 0.0000, 0.0102, 0.0048, 0.0541, 0.0144, 0.0066, 0.0059
60.0000, 54.0000, 0.2612, 0.0000, 0.2400, 0.0000, 0.2423, 0.0000, 0.0099, 0.0047, 0.0619, 0.0622, 0.0059, 0.0059
58.0000, 52.0000, 0.2648, 0.0000, 0.2184, 0.0000, 0.2359, 0.0000, 0.0098, 0.0048, 0.0347, 0.0286, 0.0059, 0.0059
58.0000, 53.0000, 0.2657, 0.0000, 0.2336, 0.0000, 0.2386, 0.0000, 0.0095, 0.0049, 0.0282, 0.0552, 0.0060, 0.0060
