# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
61.0000, 66.0000, 0.2919, 0.0000, 0.2139, 0.0000, 0.2137, 0.0000, 0.0042, 0.0140, 0.0002, 0.0055, 0.1453, 0.1555
62.0000, -1.0000, 0.2832, 0.0000, 0.2163, 0.0000, 0.2049, 0.0000, 0.0042, 0.0144, 0.0652, 0.0516, 0.1470, 0.1703
64.0000, -1.0000, 0.2705, 0.0000, 0.2117, 0.0000, 0.1548, 1.0000, 0.0047, 0.0135, 0.1131, 0.1018, 0.2573, 0.1613
61.0000, 67.0000, 0.2761, 0.0000, 0.2153, 0.0000, 0.2064, 0.0000, 0.0042, 0.0153, 0.0417, 0.0375, 0.1416, 0.1575
62.0000, -1.0000, 0.2495, 0.0000, 0.2144, 0.0000, 0.1279, 1.0000, 0.0042, 0.0139, 0.1102, 0.1090, 0.1518, 0.1638
60.0000, 68.0000, 0.2419, 0.0000, 0.2473, 0.0000, 0.1407, 1.0000, 0.0042, 0.0150, 0.0765, 0.0786, 0.1537, 0.1670
61.0000, -1.0000, 0.2294, 0.0000, 0.2140, 0.0000, 0.1260, 1.0000, 0.0042, 0.0146, 0.1112, 0.2977, 0.1536, 0.1696
53.0000, 59.0000, 0.2995, 0.0000, 0.2151, 0.0000, 0.2125, 0.0000, 0.0048, 0.0138, 0.0432, 0.0425, 0.1546, 0.2699
54.0000, 58.0000, 0.2821, 0.0000, 0.2191, 0.0000, 0.2264, 0.0000, 0.0048, 0.0127, 0.0601, 0.0686, 0.1576, 0.1521
55.0000, 62.0000, 0.2798, 0.0000, 0.2150, 0.0000, 0.2069, 0.0000, 0.0047, 0.0144, 0.1091, 0.0965, 0.1497, 0.1699
53.0000, 58.0000, 0.2678, 0.0000, 0.2164, 0.0000, 0.2078, 0.0000, 0.0049, 0.0154, 0.0056, 0.0065, 0.1429, 0.1523
53.0000, 60.0000, 0.2520, 0.0000, 0.2161, 0.0000, 0.1470, 1.0000, 0.0048, 0.0142, 0.0785, 0.0693, 0.1507, 0.1594
52.0000, 59.0000, 0.2439, 0.0000, 0.2172, 0.0000, 0.1616, 1.0000, 0.0049, 0.0156, 0.0371, 0.0387, 0.1307, 0.1347
52.0000, 60.0000, 0.2323, 0.0000, 0.2170, 0.0000, 0.0974, 1.0000, 0.0048, 0.0156, 0.0764, 0.0751, 0.1325, 0.1427
61.0000, 67.0000, 0.2978, 0.0000, 0.2140, 0.0000, 0.2147, 0.0000, 0.0042, 0.0139, 0.0169, 0.0235, 0.1472, 0.3129
62.0000, 67.0000, 0.2925, 0.0000, 0.2280, 0.0000, 0.2183, 0.0000, 0.0041, 0.0117, 0.0550, 0.0547, 0.1566, 0.1529
63.0000, 69.0000, 0.2921, 0.0000, 0.2123, 0.0000, 0.2109, 0.0000, 0.0043, 0.0117, 0.0990, 0.0913, 0.2012, 0.2843
61.0000, 67.0000, 0.2855, 0.0000, 0.2149, 0.0000, 0.2067, 0.0000, 0.0042, 0.0157, 0.0272, 0.0238, 0.1562, 0.1847
62.0000, 69.0000, 0.2542, 0.0000, 0.2160, 0.0000, 0.1420, 1.0000, 0.0042, 0.0135, 0.0962, 0.0880, 0.1482, 0.2676
60.0000, 68.0000, 0.2480, 0.0000, 0.2363, 0.0000, 0.1538, 1.0000, 0.0042, 0.0153, 0.0668, 0.0646, 0.1321, 0.1425
61.0000, -1.0000, 0.2332, 0.0000, 0.2150, 0.0000, 0.1150, 1.0000, 0.0042, 0.0146, 0.1010, 0.1025, 0.1342, 0.1478
54.0000, 60.0000, 0.3226, 0.0000, 0.2147, 0.0000, 0.2138, 0.0000, 0.0050, 0.0134, 0.0608, 0.0689, 0.1432, 0.2030
54.0000, 59.0000, 0.2886, 0.0000, 0.2159, 0.0000, 0.2204, 0.0000, 0.0048, 0.0125, 0.0828, 0.0866, 0.1252, 0.1299
55.0000, 60.0000, 0.2894, 0.0000, 0.2159, 0.0000, 0.2158, 0.0000, 0.0047, 0.0108, 0.1213, 0.1193, 0.1397, 0.1431
53.0000, 60.0000, 0.2942, 0.0000, 0.2150, 0.0000, 0.2060, 0.0000, 0.0048, 0.0150, 0.0213, 0.0250, 0.1626, 0.1800
53.0000, 63.0000, 0.2715, 0.0000, 0.2178, 0.0000, 0.1971, 1.0000, 0.0048, 0.0159, 0.0754, 0.0630, 0.1583, 0.1562
52.0000, 59.0000, 0.2602, 0.0000, 0.2175, 0.0000, 0.1800, 1.0000, 0.0049, 0.0153, 0.0209, 0.0240, 0.1335, 0.1417
53.0000, 60.0000, 0.2469, 0.0000, 0.2364, 0.0000, 0.1568, 1.0000, 0.0049, 0.0147, 0.0590, 0.0582, 0.1367, 0.1593
