# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
-1.0000, -1.0000, 0.0082, 1.0000, 0.0202, 1.0000, 0.1072, 1.0000, 0.1033, 0.0420, 19.0506, 23.0101
